rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,parent_theme,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Hello Biz,hello-biz,100000,44,2.2,6,Gutenberg-ready,2026-03-17,,https://wordpress.org/themes/hello-biz/,,https://wordpress.org/themes/hello-biz/,0,0,,,,,"Custom colors, Custom logo, Custom menu, Featured images, Flexible header, RTL language support, Style variations, Threaded comments, Translation ready"
2,Rufous,rufous,10000,46,2.3,3,Classic,2025-11-26,,https://wordpress.org/themes/rufous/,,https://wordpress.org/themes/rufous/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
3,Consulting,consulting,10000,60,3.0,19,Classic,2026-02-24,,https://wordpress.org/themes/consulting/,,https://wordpress.org/themes/consulting/,3,2,7.3,High,2025-12-31,CWE-22; CWE-79,"Blog, Custom background, Custom header, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
4,Teluro,teluro,4000,60,3.0,3,Classic,2025-11-25,,https://wordpress.org/themes/teluro/,,https://wordpress.org/themes/teluro/,1,0,4.3,Medium,2024-04-26,CWE-352,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
5,Kiosko,kiosko,3000,40,2.0,1,FSE,2024-09-11,,https://wordpress.org/themes/kiosko/,,https://wordpress.org/themes/kiosko/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, E-commerce, Featured images, Four columns, RTL language support, Sticky post, Template editing, Threaded comments, Translation ready, Wide blocks"
6,Newspaperex,newspaperex,3000,60,3.0,1,Gutenberg-ready,2024-04-17,newsup,https://wordpress.org/themes/newspaperex/,,https://wordpress.org/themes/newspaperex/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
7,Blockskit Base,blockskit-base,2000,60,3.0,1,FSE,2025-12-09,,https://wordpress.org/themes/blockskit-base/,,https://wordpress.org/themes/blockskit-base/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Education, Featured images, One column, Portfolio, RTL language support, Threaded comments, Translation ready, Wide blocks"
8,Cube Blog,cube-blog,2000,60,3.0,2,Classic,2025-06-22,,https://wordpress.org/themes/cube-blog/,,https://wordpress.org/themes/cube-blog/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Entertainment, Featured images, One column, Portfolio, Threaded comments, Translation ready, Two columns"
9,Leslie,leslie,2000,60,3.0,1,Gutenberg-compatible,2025-10-19,,https://wordpress.org/themes/leslie/,,https://wordpress.org/themes/leslie/,0,0,,,,,"Custom background, Custom header, Editor style, Left sidebar, Theme options, Three columns, Translation ready, Two columns"
10,GamerNews,gamernews,1000,30,1.5,2,Gutenberg-ready,2026-03-20,morenews,https://wordpress.org/themes/gamernews/,,https://wordpress.org/themes/gamernews/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
11,Educational Blocks,educational-blocks,1000,30,1.5,2,FSE,2026-03-24,,https://wordpress.org/themes/educational-blocks/,,https://wordpress.org/themes/educational-blocks/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Footer widgets, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
12,Consus,consus,1000,40,2.0,1,Classic,2025-11-26,,https://wordpress.org/themes/consus/,,https://wordpress.org/themes/consus/,1,0,,,2024-05-13,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
13,Shopient,shopient,1000,60,3.0,2,Gutenberg-compatible,2026-03-23,storely,https://wordpress.org/themes/shopient/,,https://wordpress.org/themes/shopient/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
14,HardNews,hardnews,1000,40,2.0,1,Gutenberg-ready,2026-02-19,covernews,https://wordpress.org/themes/hardnews/,,https://wordpress.org/themes/hardnews/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
15,Dark Minimalistblogger,dark-minimalistblogger,1000,60,3.0,2,Classic,2026-01-31,minimalistblogger,https://wordpress.org/themes/dark-minimalistblogger/,,https://wordpress.org/themes/dark-minimalistblogger/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured image header, Featured images, Flexible header, Footer widgets, News, One column, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
16,Draftly,draftly,1000,50,2.5,2,Classic,2026-02-01,,https://wordpress.org/themes/draftly/,,https://wordpress.org/themes/draftly/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured image header, Featured images, Flexible header, Footer widgets, News, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
17,Sports Club Lite,sports-club-lite,1000,46,2.3,3,Gutenberg-compatible,2024-10-05,,https://wordpress.org/themes/sports-club-lite/,,https://wordpress.org/themes/sports-club-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
18,Popularis,popularis,1000,26,1.3,4,Gutenberg-compatible,2025-04-25,,https://wordpress.org/themes/popularis/,,https://wordpress.org/themes/popularis/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, One column, Right sidebar, Threaded comments, Translation ready, Two columns"
19,Balanced Blog,balanced-blog,1000,60,3.0,2,Classic,2025-09-23,,https://wordpress.org/themes/balanced-blog/,,https://wordpress.org/themes/balanced-blog/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, Featured images, One column, Right sidebar, Threaded comments, Translation ready, Two columns"
20,Shuttle,shuttle,1000,28,1.4,9,Gutenberg-compatible,2026-03-25,,https://wordpress.org/themes/shuttle/,,https://wordpress.org/themes/shuttle/,1,1,6.5,Medium,2025-12-31,CWE-79,"Blog, Custom background, Custom header, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
21,Master Blog,master-blog,1000,20,1.0,1,Classic,2025-09-22,,https://wordpress.org/themes/master-blog/,,https://wordpress.org/themes/master-blog/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, Featured images, One column, Right sidebar, Threaded comments, Translation ready, Two columns"
22,Shifters Lite,shifters-lite,900,20,1.0,1,Gutenberg-compatible,2025-05-11,,https://wordpress.org/themes/shifters-lite/,,https://wordpress.org/themes/shifters-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Threaded comments, Two columns"
23,PostBlog,postblog,800,60,3.0,2,FSE,2026-01-05,,https://wordpress.org/themes/postblog/,,https://wordpress.org/themes/postblog/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, News, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
24,NewsMash,newsmash,800,60,3.0,2,Classic,2026-03-25,,https://wordpress.org/themes/newsmash/,,https://wordpress.org/themes/newsmash/,3,0,6.4,Medium,2025-01-02,CWE-352; CWE-79,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Entertainment, Featured image header, Featured images, Flexible header, Footer widgets, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
25,Gutenify Corporate,gutenify-corporate,800,20,1.0,1,FSE,2026-03-12,,https://wordpress.org/themes/gutenify-corporate/,,https://wordpress.org/themes/gutenify-corporate/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
26,Palm Beach,palm-beach,800,60,3.0,2,Gutenberg-compatible,2025-12-18,,https://wordpress.org/themes/palm-beach/,,https://wordpress.org/themes/palm-beach/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Full width template, Grid layout, Left sidebar, News, One column, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
27,Plover,plover,700,60,3.0,2,FSE,2026-03-22,,https://wordpress.org/themes/plover/,,https://wordpress.org/themes/plover/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, BuddyPress, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, News, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
28,InteriorPress,interiorpress,700,60,3.0,2,Gutenberg-compatible,2026-02-28,arilewp,https://wordpress.org/themes/interiorpress/,,https://wordpress.org/themes/interiorpress/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
29,Magcess,magcess,700,20,1.0,1,Classic,2024-07-17,newsphere,https://wordpress.org/themes/magcess/,,https://wordpress.org/themes/magcess/,0,0,,,,,"Blog, Custom background, Custom header, Custom menu, Entertainment, Featured images, Full width template, Left sidebar, News, One column, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
30,Madd Magazine,madd-magazine,700,60,3.0,6,Classic,2024-05-14,,https://wordpress.org/themes/madd-magazine/,,https://wordpress.org/themes/madd-magazine/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Footer widgets, Left sidebar, News, Right sidebar, Theme options, Three columns"
31,Krystal Lawyer,krystal-lawyer,600,60,3.0,2,Classic,2025-01-24,krystal,https://wordpress.org/themes/krystal-lawyer/,,https://wordpress.org/themes/krystal-lawyer/,0,0,,,,,"Blog, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Full width template, Left sidebar, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready"
32,Sento,sento,600,58,2.9,11,Classic,2026-02-24,,https://wordpress.org/themes/sento/,,https://wordpress.org/themes/sento/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
33,Joyas Shop,joyas-shop,500,60,3.0,2,Classic,2026-01-27,,https://wordpress.org/themes/joyas-shop/,,https://wordpress.org/themes/joyas-shop/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
34,HoneyBee,honeybee,500,50,2.5,2,Classic,2025-07-05,honeypress,https://wordpress.org/themes/honeybee/,,https://wordpress.org/themes/honeybee/,0,0,,,,,"Blog, Custom colors, Custom logo, Custom menu, Featured images, Footer widgets, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
35,Cocktail,cocktail,500,50,2.5,2,Gutenberg-compatible,2025-06-03,,https://wordpress.org/themes/cocktail/,,https://wordpress.org/themes/cocktail/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, News, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready"
36,X Blog,x-blog,500,50,2.5,2,Gutenberg-compatible,2025-12-20,,https://wordpress.org/themes/x-blog/,,https://wordpress.org/themes/x-blog/,0,0,,,,,"Blog, Custom header, Custom menu, Editor style, Featured images, Flexible header, Full width template, Microformats, Post formats, RTL language support, Right sidebar, Sticky post, Two columns"
37,SKT Hotel Lite,skt-hotel-lite,500,46,2.3,3,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/skt-hotel-lite/,,https://wordpress.org/themes/skt-hotel-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
38,Medical,medical,500,50,2.5,2,Gutenberg-compatible,2025-03-31,,https://wordpress.org/themes/medical/,,https://wordpress.org/themes/medical/,0,0,,,,,"Blog, Custom background, Custom header, Custom menu, Editor style, Featured images, Footer widgets, Microformats, One column, Post formats, Right sidebar, Sticky post, Translation ready, Two columns"
39,Creative Blogger,creative-blogger,400,60,3.0,2,Gutenberg-ready,2026-03-05,,https://wordpress.org/themes/creative-blogger/,,https://wordpress.org/themes/creative-blogger/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
40,Jaida,jaida,400,20,1.0,1,FSE,2024-08-01,,https://wordpress.org/themes/jaida/,,https://wordpress.org/themes/jaida/,0,0,,,,,"Block editor patterns, Block themes, Blog, Custom colors, Custom header, Custom menu, Editor style, Featured image header, Featured images, Grid layout, News, Photography, RTL language support, Right sidebar, Template editing, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
41,Bosa AI Robotics,bosa-ai-robotics,400,20,1.0,1,Gutenberg-ready,2024-07-09,bosa,https://wordpress.org/themes/bosa-ai-robotics/,,https://wordpress.org/themes/bosa-ai-robotics/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
42,Corporate Blocks,corporate-blocks,400,20,1.0,1,FSE,2026-03-22,,https://wordpress.org/themes/corporate-blocks/,,https://wordpress.org/themes/corporate-blocks/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Portfolio, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
43,Green Farm Elementor,green-farm-elementor,400,60,3.0,2,Gutenberg-ready,2026-03-27,,https://wordpress.org/themes/green-farm-elementor/,,https://wordpress.org/themes/green-farm-elementor/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
44,Storezia,storezia,400,60,3.0,1,Gutenberg-compatible,2026-03-23,storely,https://wordpress.org/themes/storezia/,,https://wordpress.org/themes/storezia/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
45,Spiko,spiko,400,20,1.0,2,Gutenberg-compatible,2025-10-09,,https://wordpress.org/themes/spiko/,,https://wordpress.org/themes/spiko/,2,0,,,2022-02-14,,"Custom logo, Custom menu, Editor style, Featured images, Footer widgets, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
46,Blossom Wedding,blossom-wedding,400,60,3.0,1,Classic,2026-01-21,,https://wordpress.org/themes/blossom-wedding/,,https://wordpress.org/themes/blossom-wedding/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Left sidebar, One column, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
47,Punte,punte,400,60,3.0,6,Gutenberg-compatible,2025-06-11,,https://wordpress.org/themes/punte/,,https://wordpress.org/themes/punte/,6,2,8.8,High,2022-04-18,CWE-285; CWE-352; CWE-434; CWE-912,"Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, One column, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
48,SKT Filmmaker,skt-filmmaker,400,40,2.0,4,Gutenberg-compatible,2026-03-04,,https://wordpress.org/themes/skt-filmmaker/,,https://wordpress.org/themes/skt-filmmaker/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Full width template, Photography, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
49,Econature Lite,econature-lite,400,60,3.0,4,Classic,2024-09-26,,https://wordpress.org/themes/econature-lite/,,https://wordpress.org/themes/econature-lite/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Full width template, Right sidebar, Theme options, Threaded comments"
50,Popularis Hub,popularis-hub,400,50,2.5,2,Gutenberg-compatible,2025-04-25,popularis,https://wordpress.org/themes/popularis-hub/,,https://wordpress.org/themes/popularis-hub/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, One column, Right sidebar, Threaded comments, Translation ready, Two columns"
51,Healing Touch,healing-touch,400,46,2.3,3,Classic,2026-03-05,,https://wordpress.org/themes/healing-touch/,,https://wordpress.org/themes/healing-touch/,0,0,,,,,"Custom background, Custom colors, Custom header, Custom menu, Featured images, Full width template, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
52,iShop,ishop,400,60,3.0,2,FSE,2025-06-30,,https://wordpress.org/themes/ishop/,,https://wordpress.org/themes/ishop/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, E-commerce, Editor style"
53,Ryan,ryan,400,60,3.0,2,Gutenberg-compatible,2026-02-24,,https://wordpress.org/themes/ryan/,,https://wordpress.org/themes/ryan/,0,0,,,,,"Blog, Custom background, Custom header, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
54,VW Hosting Services,vw-hosting-services,300,60,3.0,4,Gutenberg-ready,2026-03-24,,https://wordpress.org/themes/vw-hosting-services/,,https://wordpress.org/themes/vw-hosting-services/,0,0,,,,,"Block editor patterns, Block editor styles, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
55,BlogNet,blognet,300,20,1.0,1,Gutenberg-ready,2024-05-29,blogarise,https://wordpress.org/themes/blognet/,,https://wordpress.org/themes/blognet/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
56,Gutenify Business Dark,gutenify-business-dark,300,60,3.0,2,FSE,2026-03-12,,https://wordpress.org/themes/gutenify-business-dark/,,https://wordpress.org/themes/gutenify-business-dark/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
57,Blockline,blockline,300,40,2.0,1,FSE,2024-09-11,,https://wordpress.org/themes/blockline/,,https://wordpress.org/themes/blockline/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, RTL language support, Theme options, Threaded comments, Translation ready, Wide blocks"
58,Petite Stories,petite-stories,300,60,3.0,1,Classic,2026-01-30,,https://wordpress.org/themes/petite-stories/,,https://wordpress.org/themes/petite-stories/,0,0,,,,,"Blog, BuddyPress, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, News, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
59,Travel Diary,travel-diary,300,60,3.0,1,Classic,2025-12-31,blossom-pin,https://wordpress.org/themes/travel-diary/,,https://wordpress.org/themes/travel-diary/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Left sidebar, One column, Photography, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
60,Cosmobit,cosmobit,300,60,3.0,2,Gutenberg-compatible,2026-03-27,,https://wordpress.org/themes/cosmobit/,,https://wordpress.org/themes/cosmobit/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
61,Fresno,fresno,300,40,2.0,1,Gutenberg-compatible,2026-02-28,arilewp,https://wordpress.org/themes/fresno/,,https://wordpress.org/themes/fresno/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
62,EasyConsulting,easyconsulting,300,20,1.0,1,Gutenberg-compatible,2024-05-21,,https://wordpress.org/themes/easyconsulting/,,https://wordpress.org/themes/easyconsulting/,0,0,,,,,"Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Full width template, Left sidebar, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
63,Real Estate Salient,real-estate-salient,300,52,2.6,5,Classic,2025-10-16,,https://wordpress.org/themes/real-estate-salient/,,https://wordpress.org/themes/real-estate-salient/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Right sidebar, Theme options, Threaded comments"
64,Makenzie Lite,makenzie-lite,300,60,3.0,2,Classic,2026-02-02,,https://wordpress.org/themes/makenzie-lite/,,https://wordpress.org/themes/makenzie-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Grid layout, Left sidebar, News, One column, Right sidebar, Theme options, Translation ready, Two columns"
65,Memory,memory,300,60,3.0,1,Gutenberg-ready,2024-05-20,,https://wordpress.org/themes/memory/,,https://wordpress.org/themes/memory/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Featured images, Food & drink, Footer widgets, Grid layout, Left sidebar, One column, Photography, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Two columns, Wide blocks"
