rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,parent_theme,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
66,Social Care Lite,social-care-lite,300,60,3.0,3,Gutenberg-compatible,2024-10-05,,https://wordpress.org/themes/social-care-lite/,,https://wordpress.org/themes/social-care-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
67,Creativ Singer,creativ-singer,300,20,1.0,1,Gutenberg-compatible,2026-03-18,,https://wordpress.org/themes/creativ-singer/,,https://wordpress.org/themes/creativ-singer/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured images, Footer widgets, Full width template, Left sidebar, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
68,Elegant Pin,elegant-pin,300,60,3.0,1,Classic,2025-11-18,elegant-pink,https://wordpress.org/themes/elegant-pin/,,https://wordpress.org/themes/elegant-pin/,0,0,,,,,"Blog, Custom background, Custom menu, Featured image header, Featured images, Footer widgets, Full width template, News, Post formats, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
69,SKT Handyman,skt-handyman,300,20,1.0,2,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/skt-handyman/,,https://wordpress.org/themes/skt-handyman/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Footer widgets, Full width template, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
70,Adventure Travelling,adventure-travelling,300,60,3.0,2,Gutenberg-ready,2026-03-05,,https://wordpress.org/themes/adventure-travelling/,,https://wordpress.org/themes/adventure-travelling/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
71,Classy Lite,classy-lite,300,60,3.0,1,Gutenberg-compatible,2024-10-07,,https://wordpress.org/themes/classy-lite/,,https://wordpress.org/themes/classy-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
72,Clean Gallery,clean-gallery,300,54,2.7,3,Gutenberg-compatible,2025-12-06,,https://wordpress.org/themes/clean-gallery/,,https://wordpress.org/themes/clean-gallery/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Photography, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
73,Claremont,claremont,300,20,1.0,1,Gutenberg-compatible,2025-04-29,,https://wordpress.org/themes/claremont/,,https://wordpress.org/themes/claremont/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Full width template, Left sidebar, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
74,Politics,politics,300,50,2.5,2,Classic,2024-10-22,,https://wordpress.org/themes/politics/,,https://wordpress.org/themes/politics/,0,0,,,,,"Custom colors, Custom menu, Featured images, Full width template, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready"
75,Ogma Blogster,ogma-blogster,200,20,1.0,1,Gutenberg-ready,2026-03-05,ogma-blog,https://wordpress.org/themes/ogma-blogster/,,https://wordpress.org/themes/ogma-blogster/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
76,Graceful Aura Blog,graceful-aura-blog,200,40,2.0,1,Classic,2025-05-10,graceful,https://wordpress.org/themes/graceful-aura-blog/,,https://wordpress.org/themes/graceful-aura-blog/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
77,Construction Architect,construction-architect,200,20,1.0,1,FSE,2026-03-25,,https://wordpress.org/themes/construction-architect/,,https://wordpress.org/themes/construction-architect/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
78,RT Education School,rt-education-school,200,20,1.0,1,FSE,2026-03-15,,https://wordpress.org/themes/rt-education-school/,,https://wordpress.org/themes/rt-education-school/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
79,Home Services Blocks,home-services-blocks,200,20,1.0,1,FSE,2026-03-23,,https://wordpress.org/themes/home-services-blocks/,,https://wordpress.org/themes/home-services-blocks/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
80,Alexia,alexia,200,20,1.0,1,Gutenberg-compatible,2026-03-23,flixita,https://wordpress.org/themes/alexia/,,https://wordpress.org/themes/alexia/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
81,Gutenify Medical,gutenify-medical,200,20,1.0,1,FSE,2026-03-12,,https://wordpress.org/themes/gutenify-medical/,,https://wordpress.org/themes/gutenify-medical/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
82,Cyber Security Services,cyber-security-services,200,20,1.0,1,Gutenberg-ready,2026-02-09,,https://wordpress.org/themes/cyber-security-services/,,https://wordpress.org/themes/cyber-security-services/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
83,VW Bakery Blocks,vw-bakery-blocks,200,60,3.0,2,FSE,2026-03-12,,https://wordpress.org/themes/vw-bakery-blocks/,,https://wordpress.org/themes/vw-bakery-blocks/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Food & drink, Footer widgets, Four columns, Grid layout, Left sidebar, One column, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
84,Author Writer,author-writer,200,54,2.7,3,Gutenberg-ready,2026-03-16,,https://wordpress.org/themes/author-writer/,,https://wordpress.org/themes/author-writer/,0,0,,,,,"Block editor styles, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
85,Dog Breeder,dog-breeder,200,48,2.4,5,Gutenberg-ready,2026-01-30,pet-care-zone,https://wordpress.org/themes/dog-breeder/,,https://wordpress.org/themes/dog-breeder/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
86,GridHub,gridhub,200,60,3.0,2,Gutenberg-compatible,2025-12-22,,https://wordpress.org/themes/gridhub/,,https://wordpress.org/themes/gridhub/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, One column, Photography, Portfolio, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
87,Digital Books,digital-books,200,20,1.0,2,Gutenberg-ready,2026-03-10,,https://wordpress.org/themes/digital-books/,,https://wordpress.org/themes/digital-books/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
88,Envira,envira,200,20,1.0,1,Gutenberg-compatible,2026-03-25,startkit,https://wordpress.org/themes/envira/,,https://wordpress.org/themes/envira/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
89,OMG Blog,omg-blog,200,20,1.0,1,Classic,2024-04-18,bizberg,https://wordpress.org/themes/omg-blog/,,https://wordpress.org/themes/omg-blog/,0,0,,,,,"Blog, Custom logo, Custom menu, Featured images, Grid layout, Left sidebar, News, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready"
90,Fashion Estore,fashion-estore,200,20,1.0,1,Gutenberg-ready,2026-03-10,,https://wordpress.org/themes/fashion-estore/,,https://wordpress.org/themes/fashion-estore/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
91,Music Club Lite,music-club-lite,200,50,2.5,2,Gutenberg-compatible,2024-08-30,,https://wordpress.org/themes/music-club-lite/,,https://wordpress.org/themes/music-club-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
92,Massage Clean,massage-clean,200,60,3.0,2,Classic,2024-10-03,,https://wordpress.org/themes/massage-clean/,,https://wordpress.org/themes/massage-clean/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Full width template, Right sidebar, Theme options, Threaded comments"
93,Loud Music,loud-music,200,40,2.0,1,Gutenberg-compatible,2026-03-18,,https://wordpress.org/themes/loud-music/,,https://wordpress.org/themes/loud-music/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured images, Footer widgets, Full width template, Left sidebar, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
94,Travel Joy,travel-joy,200,60,3.0,1,Classic,2025-06-24,,https://wordpress.org/themes/travel-joy/,,https://wordpress.org/themes/travel-joy/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, One column, Photography, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
95,AssociationX,associationx,200,20,1.0,2,Classic,2024-11-28,,https://wordpress.org/themes/associationx/,,https://wordpress.org/themes/associationx/,0,0,,,,,"BuddyPress, Custom logo, Custom menu, E-commerce, Education, Entertainment, Featured images, Footer widgets, Full width template, Left sidebar, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
96,My Dog Lite,my-dog-lite,200,20,1.0,1,Classic,2026-03-05,,https://wordpress.org/themes/my-dog-lite/,,https://wordpress.org/themes/my-dog-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
97,HotWP,hotwp,200,60,3.0,2,Gutenberg-compatible,2025-07-02,,https://wordpress.org/themes/hotwp/,,https://wordpress.org/themes/hotwp/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready"
98,Equable Lite,equable-lite,200,40,2.0,1,Classic,2024-09-26,,https://wordpress.org/themes/equable-lite/,,https://wordpress.org/themes/equable-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
99,Singlepage Builder,singlepage-builder,200,40,2.0,1,Classic,2025-11-26,oneline-lite,https://wordpress.org/themes/singlepage-builder/,,https://wordpress.org/themes/singlepage-builder/,0,0,,,,,"Blog, Custom colors, Custom menu, Footer widgets, Grid layout, One column, Right sidebar, Sticky post, Theme options, Translation ready, Two columns"
100,VW Hair Salon,vw-hair-salon,200,60,3.0,1,Gutenberg-ready,2026-03-14,,https://wordpress.org/themes/vw-hair-salon/,,https://wordpress.org/themes/vw-hair-salon/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
101,Easy Commerce,easy-commerce,200,46,2.3,3,Classic,2026-01-06,,https://wordpress.org/themes/easy-commerce/,,https://wordpress.org/themes/easy-commerce/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Left sidebar, One column, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
102,Gurukul Education,gurukul-education,200,60,3.0,2,Gutenberg-compatible,2026-02-24,,https://wordpress.org/themes/gurukul-education/,,https://wordpress.org/themes/gurukul-education/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Three columns, Translation ready, Two columns"
103,Panaroma,panaroma,200,52,2.6,5,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/panaroma/,,https://wordpress.org/themes/panaroma/,0,0,,,,,"Custom background, Custom menu, Editor style, Featured images, Full width template, Left sidebar, Right sidebar, Theme options, Threaded comments, Two columns"
104,VW Spa Lite,vw-spa-lite,200,60,3.0,2,Gutenberg-ready,2026-03-02,,https://wordpress.org/themes/vw-spa-lite/,,https://wordpress.org/themes/vw-spa-lite/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, BuddyPress, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
105,Mediquip Plus,mediquip-plus,200,60,3.0,1,Gutenberg-ready,2026-03-05,,https://wordpress.org/themes/mediquip-plus/,,https://wordpress.org/themes/mediquip-plus/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
106,Creator World,creator-world,200,20,1.0,1,Gutenberg-compatible,2026-01-12,,https://wordpress.org/themes/creator-world/,,https://wordpress.org/themes/creator-world/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
107,upTown,uptown,200,60,3.0,2,Gutenberg-compatible,2025-12-25,,https://wordpress.org/themes/uptown/,,https://wordpress.org/themes/uptown/,0,0,,,,,"Custom background, Custom colors, Custom header, Custom menu, Editor style, Featured images, Full width template, Grid layout, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
108,SKT Bizness,skt-bizness,200,44,2.2,5,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/skt-bizness/,,https://wordpress.org/themes/skt-bizness/,0,0,,,,,"Custom background, Custom menu, Editor style, Featured images, Full width template, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
109,Optimize,optimize,200,60,3.0,4,FSE,2024-11-13,,https://wordpress.org/themes/optimize/,,https://wordpress.org/themes/optimize/,1,0,,,2014-08-01,,"Block editor patterns, Block editor styles, Block themes, E-commerce, Editor style"
110,FSE Personal Blog,fse-personal-blog,100,20,1.0,1,FSE,2026-03-04,,https://wordpress.org/themes/fse-personal-blog/,,https://wordpress.org/themes/fse-personal-blog/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
111,Magty,magty,100,20,1.0,1,Gutenberg-ready,2025-05-29,,https://wordpress.org/themes/magty/,,https://wordpress.org/themes/magty/,1,0,8.1,High,2025-06-25,CWE-98,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Featured images, Footer widgets, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
112,FSE Home Decor,fse-home-decor,100,20,1.0,1,FSE,2026-03-13,,https://wordpress.org/themes/fse-home-decor/,,https://wordpress.org/themes/fse-home-decor/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
113,openmind,openmind,100,40,2.0,2,FSE,2025-01-12,,https://wordpress.org/themes/openmind/,,https://wordpress.org/themes/openmind/,0,0,,,,,"Block editor styles, Block themes, Custom header, Editor style, Featured images, Full width template, Grid layout, Portfolio, Style variations, Template editing"
114,WENS Agrovibe,wens-agrovibe,100,20,1.0,1,FSE,2025-02-05,wens-haelo,https://wordpress.org/themes/wens-agrovibe/,,https://wordpress.org/themes/wens-agrovibe/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, Portfolio, Sticky post, Threaded comments, Translation ready, Wide blocks"
115,Studies,studies,100,20,1.0,1,FSE,2025-05-14,,https://wordpress.org/themes/studies/,,https://wordpress.org/themes/studies/,0,0,,,,,"Block editor patterns, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Three columns, Two columns, Wide blocks"
116,Vegetable Gardening,vegetable-gardening,100,20,1.0,1,FSE,2026-03-23,,https://wordpress.org/themes/vegetable-gardening/,,https://wordpress.org/themes/vegetable-gardening/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Food & drink, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
117,Travel Booking Solutions,travel-booking-solutions,100,20,1.0,1,FSE,2026-03-15,,https://wordpress.org/themes/travel-booking-solutions/,,https://wordpress.org/themes/travel-booking-solutions/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Photography, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
118,VillaPress,villapress,100,20,1.0,1,Gutenberg-compatible,2026-03-23,aravalli,https://wordpress.org/themes/villapress/,,https://wordpress.org/themes/villapress/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Food & drink, Footer widgets, Full width template, Grid layout, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
119,Message,message,100,60,3.0,2,FSE,2024-11-25,,https://wordpress.org/themes/message/,,https://wordpress.org/themes/message/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Front page posting, One column, Post formats, RTL language support, Style variations, Template editing, Theme options, Threaded comments, Translation ready"
120,Kubrick 2024,kubrick-2024,100,40,2.0,1,Gutenberg-ready,2024-04-05,,https://wordpress.org/themes/kubrick-2024/,,https://wordpress.org/themes/kubrick-2024/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Wide blocks"
121,Movie Cinema Blocks,movie-cinema-blocks,100,46,2.3,3,FSE,2026-03-17,,https://wordpress.org/themes/movie-cinema-blocks/,,https://wordpress.org/themes/movie-cinema-blocks/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Photography, RTL language support, Right sidebar, Sticky post, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
122,FSE Social NGO,fse-social-ngo,100,20,1.0,1,FSE,2026-03-24,,https://wordpress.org/themes/fse-social-ngo/,,https://wordpress.org/themes/fse-social-ngo/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
123,Elina Lite Portfolio Gallery,elina-lite-portfolio-gallery,100,20,1.0,1,Classic,2026-01-13,,https://wordpress.org/themes/elina-lite-portfolio-gallery/,,https://wordpress.org/themes/elina-lite-portfolio-gallery/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, Featured image header, Featured images, Four columns, Grid layout, One column, Photography, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
124,Kindergarten Playschool,kindergarten-playschool,100,20,1.0,1,Gutenberg-ready,2026-03-19,,https://wordpress.org/themes/kindergarten-playschool/,,https://wordpress.org/themes/kindergarten-playschool/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
125,FSE Freelancer Portfolio,fse-freelancer-portfolio,100,20,1.0,1,FSE,2026-02-21,,https://wordpress.org/themes/fse-freelancer-portfolio/,,https://wordpress.org/themes/fse-freelancer-portfolio/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom header, Custom logo, Custom menu, Featured images, Footer widgets, Full width template, Left sidebar, One column, Photography, Portfolio, Right sidebar, Threaded comments, Translation ready, Two columns, Wide blocks"
