rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,parent_theme,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
126,Medical Elementor,medical-elementor,100,20,1.0,1,Gutenberg-ready,2025-01-05,,https://wordpress.org/themes/medical-elementor/,,https://wordpress.org/themes/medical-elementor/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Entertainment, Featured image header, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Holiday, Left sidebar, Microformats, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
127,Entertainment Media,entertainment-media,100,20,1.0,1,Gutenberg-ready,2026-03-25,,https://wordpress.org/themes/entertainment-media/,,https://wordpress.org/themes/entertainment-media/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured image header, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
128,Recipes Blog,recipes-blog,100,20,1.0,1,Classic,2026-03-21,,https://wordpress.org/themes/recipes-blog/,,https://wordpress.org/themes/recipes-blog/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Flexible header, Food & drink, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
129,Cigma,cigma,100,60,3.0,1,FSE,2025-01-17,,https://wordpress.org/themes/cigma/,,https://wordpress.org/themes/cigma/,0,0,,,,,"Block editor patterns, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, One column, RTL language support, Right sidebar, Sticky post, Threaded comments, Three columns, Two columns, Wide blocks"
130,Mega Store Woocommerce,mega-store-woocommerce,100,20,1.0,1,Gutenberg-ready,2026-03-23,,https://wordpress.org/themes/mega-store-woocommerce/,,https://wordpress.org/themes/mega-store-woocommerce/,1,1,5.3,Medium,2026-02-19,CWE-862,"Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
131,Ogma,ogma,100,60,3.0,2,Classic,2025-06-12,,https://wordpress.org/themes/ogma/,,https://wordpress.org/themes/ogma/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Footer widgets, Four columns, Full width template, Left sidebar, News, One column, RTL language support, Right sidebar, Threaded comments, Three columns, Translation ready, Two columns"
132,Aster Storefront,aster-storefront,100,20,1.0,3,Classic,2026-03-24,,https://wordpress.org/themes/aster-storefront/,,https://wordpress.org/themes/aster-storefront/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
133,Hotel Booking Lite,hotel-booking-lite,100,60,3.0,2,Gutenberg-ready,2026-03-18,,https://wordpress.org/themes/hotel-booking-lite/,,https://wordpress.org/themes/hotel-booking-lite/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns, Wide blocks"
134,Novel Writer,novel-writer,100,20,1.0,1,FSE,2026-03-23,,https://wordpress.org/themes/novel-writer/,,https://wordpress.org/themes/novel-writer/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Grid layout, Left sidebar, News, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
135,Car Repair,car-repair,100,20,1.0,1,Gutenberg-ready,2026-03-09,automobile-hub,https://wordpress.org/themes/car-repair/,,https://wordpress.org/themes/car-repair/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
136,Beauty Hair Salon,beauty-hair-salon,100,20,1.0,1,Gutenberg-ready,2026-03-04,beauty-salon-spa,https://wordpress.org/themes/beauty-hair-salon/,,https://wordpress.org/themes/beauty-hair-salon/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
137,Classic Bakery,classic-bakery,100,60,3.0,2,Gutenberg-ready,2026-03-11,,https://wordpress.org/themes/classic-bakery/,,https://wordpress.org/themes/classic-bakery/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
138,Ovation Health Blog,ovation-health-blog,100,20,1.0,1,Gutenberg-ready,2026-02-09,ovation-blog,https://wordpress.org/themes/ovation-health-blog/,,https://wordpress.org/themes/ovation-health-blog/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
139,Bakery Cafe,bakery-cafe,100,20,1.0,1,Gutenberg-ready,2026-03-26,,https://wordpress.org/themes/bakery-cafe/,,https://wordpress.org/themes/bakery-cafe/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
140,Unos News,unos-news,100,60,3.0,2,Gutenberg-ready,2026-01-07,unos,https://wordpress.org/themes/unos-news/,,https://wordpress.org/themes/unos-news/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Footer widgets, Full width template, Grid layout, Left sidebar, Microformats, News, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
141,Art Gallery Museum,art-gallery-museum,100,20,1.0,1,Gutenberg-ready,2026-03-14,,https://wordpress.org/themes/art-gallery-museum/,,https://wordpress.org/themes/art-gallery-museum/,0,0,,,,,"Block editor patterns, Block editor styles, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Photography, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns, Wide blocks"
142,Blakely Light,blakely-light,100,20,1.0,1,Gutenberg-compatible,2025-12-09,blakely,https://wordpress.org/themes/blakely-light/,,https://wordpress.org/themes/blakely-light/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured image header, Featured images, Flexible header, Footer widgets, Grid layout, Microformats, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
143,Medical Clinic Lite,medical-clinic-lite,100,40,2.0,1,Gutenberg-ready,2026-03-24,,https://wordpress.org/themes/medical-clinic-lite/,,https://wordpress.org/themes/medical-clinic-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
144,Elemento IT Solutions,elemento-it-solutions,100,20,1.0,1,Gutenberg-ready,2026-03-27,,https://wordpress.org/themes/elemento-it-solutions/,,https://wordpress.org/themes/elemento-it-solutions/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
145,Psychologist Therapy,psychologist-therapy,100,40,2.0,1,Gutenberg-ready,2026-03-22,,https://wordpress.org/themes/psychologist-therapy/,,https://wordpress.org/themes/psychologist-therapy/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured image header, Featured images, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
146,Computer Repair Shop,computer-repair-shop,100,60,3.0,2,Gutenberg-compatible,2026-03-09,,https://wordpress.org/themes/computer-repair-shop/,,https://wordpress.org/themes/computer-repair-shop/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
147,Internet Provider,internet-provider,100,60,3.0,2,Gutenberg-ready,2026-02-26,,https://wordpress.org/themes/internet-provider/,,https://wordpress.org/themes/internet-provider/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
148,Secure,secure,100,20,1.0,1,Classic,2025-06-30,,https://wordpress.org/themes/secure/,,https://wordpress.org/themes/secure/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Full width template, One column, Right sidebar, Theme options, Threaded comments, Two columns"
149,Palm Healing Lite,palm-healing-lite,100,40,2.0,1,Gutenberg-compatible,2026-03-04,,https://wordpress.org/themes/palm-healing-lite/,,https://wordpress.org/themes/palm-healing-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
150,Educational Zone,educational-zone,100,60,3.0,2,Gutenberg-ready,2026-03-10,,https://wordpress.org/themes/educational-zone/,,https://wordpress.org/themes/educational-zone/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns, Wide blocks"
151,Almighty,almighty,100,60,3.0,1,Classic,2026-02-15,,https://wordpress.org/themes/almighty/,,https://wordpress.org/themes/almighty/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, Entertainment, Featured image header, Featured images, Left sidebar, News, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
152,Restaurant Food Delivery,restaurant-food-delivery,100,60,3.0,1,Gutenberg-ready,2026-03-22,,https://wordpress.org/themes/restaurant-food-delivery/,,https://wordpress.org/themes/restaurant-food-delivery/,0,0,,,,,"Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Photography, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
153,TA Newspaper,ta-newspaper,100,60,3.0,1,Classic,2025-03-28,,https://wordpress.org/themes/ta-newspaper/,,https://wordpress.org/themes/ta-newspaper/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Education, Featured images, Grid layout, Left sidebar, News, Right sidebar, Threaded comments, Three columns, Translation ready, Two columns"
154,Belleza,belleza,100,40,2.0,1,Classic,2025-05-14,,https://wordpress.org/themes/belleza/,,https://wordpress.org/themes/belleza/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Full width template, Portfolio, Right sidebar, Theme options, Threaded comments"
155,Swing Lite,swing-lite,100,60,3.0,2,Gutenberg-compatible,2025-06-11,,https://wordpress.org/themes/swing-lite/,,https://wordpress.org/themes/swing-lite/,6,2,8.8,High,2022-04-18,CWE-285; CWE-352; CWE-434; CWE-912,"Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Food & drink, Grid layout, Holiday, Right sidebar, Threaded comments, Translation ready"
156,Academic Education,academic-education,100,20,1.0,1,Gutenberg-ready,2026-03-12,,https://wordpress.org/themes/academic-education/,,https://wordpress.org/themes/academic-education/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
157,Charity Help Lite,charity-help-lite,100,60,3.0,1,Gutenberg-compatible,2026-03-15,,https://wordpress.org/themes/charity-help-lite/,,https://wordpress.org/themes/charity-help-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Full width template, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
158,News Box Free,news-box-free,100,60,3.0,2,Gutenberg-ready,2026-01-04,news-box,https://wordpress.org/themes/news-box-free/,,https://wordpress.org/themes/news-box-free/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom header, Custom logo, Custom menu, Education, Featured image header, Featured images, Flexible header, Full width template, Grid layout, News, One column, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
159,VW Magazine,vw-magazine,100,60,3.0,2,Gutenberg-ready,2026-03-05,,https://wordpress.org/themes/vw-magazine/,,https://wordpress.org/themes/vw-magazine/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
160,Blush,blush,100,20,1.0,1,Gutenberg-ready,2026-03-09,aneeq,https://wordpress.org/themes/blush/,,https://wordpress.org/themes/blush/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
161,Bakers Lite,bakers-lite,100,40,2.0,4,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/bakers-lite/,,https://wordpress.org/themes/bakers-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Food & drink, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
162,Business Roy,business-roy,100,40,2.0,1,Gutenberg-ready,2025-12-20,,https://wordpress.org/themes/business-roy/,,https://wordpress.org/themes/business-roy/,1,1,,,2026-02-19,,"Block editor patterns, Block editor styles, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Footer widgets, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Translation ready, Two columns"
163,Hairstyle,hairstyle,100,60,3.0,2,Gutenberg-compatible,2025-06-24,,https://wordpress.org/themes/hairstyle/,,https://wordpress.org/themes/hairstyle/,0,0,,,,,"Custom background, Custom menu, E-commerce, Editor style, Featured images, Full width template, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
164,Best News,best-news,100,60,3.0,2,Classic,2025-01-02,,https://wordpress.org/themes/best-news/,,https://wordpress.org/themes/best-news/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured image header, Featured images, Footer widgets, Grid layout, Left sidebar, News, One column, Right sidebar, Theme options, Threaded comments, Three columns, Two columns"
165,VW Photography,vw-photography,100,60,3.0,2,Gutenberg-ready,2026-03-06,,https://wordpress.org/themes/vw-photography/,,https://wordpress.org/themes/vw-photography/,1,1,,,2026-03-13,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
166,Petlove,petlove,100,40,2.0,1,Classic,2025-06-02,,https://wordpress.org/themes/petlove/,,https://wordpress.org/themes/petlove/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Entertainment, Featured images, Full width template, Right sidebar, Theme options, Threaded comments"
167,Hexagon,hexagon,100,46,2.3,3,Gutenberg-compatible,2026-03-09,,https://wordpress.org/themes/hexagon/,,https://wordpress.org/themes/hexagon/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
168,Advance Education,advance-education,100,60,3.0,2,Gutenberg-ready,2026-02-25,,https://wordpress.org/themes/advance-education/,,https://wordpress.org/themes/advance-education/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Education, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
169,Justice,justice,100,60,3.0,2,Gutenberg-compatible,2025-09-24,,https://wordpress.org/themes/justice/,,https://wordpress.org/themes/justice/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Editor style, Education, Featured images, Full width template, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
170,Photography Blog,photography-blog,100,54,2.7,3,Classic,2026-02-15,,https://wordpress.org/themes/photography-blog/,,https://wordpress.org/themes/photography-blog/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, Featured image header, Featured images, Left sidebar, News, Photography, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
171,BlogStart,blogstart,100,20,1.0,1,Gutenberg-ready,2024-04-09,,https://wordpress.org/themes/blogstart/,,https://wordpress.org/themes/blogstart/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Front page posting, Full width template, Grid layout, Left sidebar, News, One column, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
172,Build Lite,build-lite,100,56,2.8,6,Classic,2026-03-05,,https://wordpress.org/themes/build-lite/,,https://wordpress.org/themes/build-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
173,Nutrigen,nutrigen,100,20,1.0,1,Classic,2025-10-01,,https://wordpress.org/themes/nutrigen/,,https://wordpress.org/themes/nutrigen/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Featured images, Food & drink, Full width template, Right sidebar, Theme options, Threaded comments"
174,SKT Yogi Lite,skt-yogi-lite,100,40,2.0,1,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/skt-yogi-lite/,,https://wordpress.org/themes/skt-yogi-lite/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Portfolio, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
175,Sanitorium,sanitorium,100,60,3.0,2,Gutenberg-compatible,2025-06-30,,https://wordpress.org/themes/sanitorium/,,https://wordpress.org/themes/sanitorium/,0,0,,,,,"Blog, Custom background, Custom header, Custom menu, Editor style, Education, Featured images, Full width template, One column, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
176,SKT Design Agency,skt-design-agency,100,60,3.0,2,Classic,2026-03-05,,https://wordpress.org/themes/skt-design-agency/,,https://wordpress.org/themes/skt-design-agency/,0,0,,,,,"Blog, Custom background, Custom colors, Custom menu, Education, News, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
177,ARzine,arzine,100,20,1.0,2,Classic,2025-12-08,busiprof,https://wordpress.org/themes/arzine/,,https://wordpress.org/themes/arzine/,0,0,,,,,"Accessibility ready, Blog, Custom menu, E-commerce, Education, Featured images, Footer widgets, Full width template, Grid layout, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
178,SKT Wedding Lite,skt-wedding-lite,100,20,1.0,1,Classic,2026-03-05,,https://wordpress.org/themes/skt-wedding-lite/,,https://wordpress.org/themes/skt-wedding-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
179,Restaurant Lite,restaurant-lite,100,40,2.0,4,Classic,2026-03-05,,https://wordpress.org/themes/restaurant-lite/,,https://wordpress.org/themes/restaurant-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
180,SKT Cutsnstyle Lite,skt-cutsnstyle-lite,100,46,2.3,3,Classic,2026-03-05,,https://wordpress.org/themes/skt-cutsnstyle-lite/,,https://wordpress.org/themes/skt-cutsnstyle-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
181,SKT Photo World,skt-photo-world,100,60,3.0,4,Gutenberg-compatible,2026-03-05,,https://wordpress.org/themes/skt-photo-world/,,https://wordpress.org/themes/skt-photo-world/,0,0,,,,,"Custom background, Custom menu, Editor style, Featured images, Left sidebar, Right sidebar, Theme options, Threaded comments, Two columns"
182,fART,fart,100,20,1.0,2,Classic,2025-12-10,,https://wordpress.org/themes/fart/,,https://wordpress.org/themes/fart/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Footer widgets, Front page posting, Full width template, Photography, Post formats, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
183,Fitness Lite,fitness-lite,100,60,3.0,5,Classic,2026-03-05,,https://wordpress.org/themes/fitness-lite/,,https://wordpress.org/themes/fitness-lite/,0,0,,,,,"Custom background, Custom colors, Custom menu, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
184,fTourism,ftourism,100,20,1.0,1,Classic,2025-12-10,,https://wordpress.org/themes/ftourism/,,https://wordpress.org/themes/ftourism/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Footer widgets, Front page posting, Full width template, Holiday, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
185,SKT BeFit,skt-befit,100,60,3.0,2,Classic,2026-03-05,,https://wordpress.org/themes/skt-befit/,,https://wordpress.org/themes/skt-befit/,0,0,,,,,"Custom background, Custom colors, Custom header, Custom menu, Featured images, Full width template, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
186,D5 CORPORATE LITE,d5-corporate-lite,100,60,3.0,2,Classic,2026-03-13,,https://wordpress.org/themes/d5-corporate-lite/,,https://wordpress.org/themes/d5-corporate-lite/,0,0,,,,,"Blog, Custom background, Custom header, Custom menu, Education, Full width template, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
